"year" "acousticness" "duration" "energy" "explicit" "key" "liveness" "loudness" "mode" "tempo" "pop.class"
"243" 1963 0.733 138467 0.23 0 "D" 0.149 -14.388 0 95.967 "C"
"244" 1960 0.646 154400 0.197 0 "E" 0.291 -16.743 0 102.229 "C"
"245" 1958 0.812 560655 0.326 1 "G" 0.247 -12.11 1 108.387 "D"
"246" 1962 0.123 110307 0.848 0 "G" 0.0834 -7.429 0 91.284 "C"
"247" 2019 0.602 193027 0.822 0 "F" 0.107 -2.85 0 81.981 "A"
"248" 2000 0.393 279400 0.6 0 "Gb" 0.101 -6.966 0 140.992 "C"
"249" 1941 0.995 82253 0.256 0 "G" 0.125 -17.647 0 99.949 "D"
"250" 1992 0.712 146467 0.278 0 "B" 0.202 -13.733 0 117.96 "C"
"251" 1985 0.0177 299067 0.844 1 "B" 0.111 -11.172 1 121.906 "C"
"252" 1957 0.741 316053 0.0873 1 "G" 0.0884 -20.051 1 83.749 "D"
"253" 1937 0.984 168520 0.0647 1 "E" 0.123 -14.839 1 96.499 "D"
"254" 1999 0.493 356693 0.672 0 "Bb" 0.174 -6.601 0 98.232 "B"
"255" 1957 0.845 194373 0.575 0 "C" 0.416 -10.643 0 100.703 "D"
"256" 2001 0.399 337760 0.774 1 "Db" 0.189 -3.144 1 77.621 "C"
"257" 1970 0.387 183947 0.455 0 "C" 0.433 -13.159 0 103.979 "C"
"258" 2002 0.119 201800 0.492 0 "Gb" 0.0777 -6.309 0 91.098 "C"
"259" 1977 0.961 185720 0.231 0 "B" 0.0741 -23.873 0 104.853 "C"
"260" 1945 0.84 201893 0.143 0 "Db" 0.133 -11.506 0 112.954 "D"
"261" 1976 0.00658 153307 0.722 0 "E" 0.08 -10.988 0 141.3 "B"
"262" 2001 0.506 268748 0.581 0 "Gb" 0.109 -6.855 0 119.941 "C"
"263" 1947 0.987 186530 0.186 0 "Db" 0.394 -20.204 0 94.557 "D"
"264" 1983 0.0743 400667 0.606 1 "Gb" 0.135 -8.626 1 103.976 "C"
"265" 1959 0.614 179893 0.351 0 "Eb" 0.0914 -12.518 0 94.293 "D"
"266" 1971 0.307 190667 0.825 0 "F" 0.12 -7.741 0 101.072 "C"
"267" 1958 0.732 314133 0.326 1 "F" 0.115 -16.283 1 112.546 "D"
"268" 1930 0.988 203653 0.445 1 "E" 0.42 -12.024 1 78.084 "D"
"269" 1954 0.727 183000 0.14 1 "E" 0.348 -15.666 1 76.744 "D"
"270" 2015 0.0928 196933 0.657 0 "Db" 0.119 -4.787 0 133.188 "A"
"271" 1960 0.816 520173 0.266 1 "C" 0.128 -13.881 1 80.329 "D"
"272" 1965 0.655 164800 0.809 0 "Bb" 0.909 -7.492 0 137.443 "D"
"273" 1961 0.941 235773 0.00905 0 "Eb" 0.12 -29.899 0 105.794 "D"
"274" 1993 0.000131 204040 0.879 0 "Db" 0.0756 -9.102 0 95.456 "C"
"275" 1983 0.211 314307 0.589 0 "D" 0.0834 -10.274 0 82.577 "C"
"276" 1935 0.969 266400 0.0862 0 "Ab" 0.18 -20.471 0 72.751 "D"
"277" 1982 0.082 269600 0.572 0 "A" 0.253 -6.923 0 108.408 "C"
"278" 1951 0.981 203733 0.302 1 "B" 0.627 -14.989 1 128.64 "D"
"279" 1950 0.824 188400 0.308 1 "G" 0.0925 -15.669 1 113.088 "D"
"280" 1952 0.99 208973 0.253 0 "D" 0.129 -11.934 0 88.029 "D"
"281" 1947 0.994 165820 0.22 1 "C" 0.629 -11.113 1 121.349 "D"
"282" 1995 0.0104 179600 0.702 1 "Bb" 0.38 -9.404 1 92.324 "A"
"283" 2001 0.000968 330240 0.935 0 "G" 0.228 -4.658 0 143.893 "B"
"284" 1967 0.188 307027 0.422 1 "A" 0.368 -12.098 1 149.064 "D"
"285" 1965 0.868 147603 0.264 1 "D" 0.392 -8.828 1 182.73 "D"
"286" 1947 0.975 201907 0.341 1 "F" 0.0784 -7.955 1 129.104 "D"
"287" 1979 0.169 325387 0.619 0 "G" 0.173 -8.847 0 85.21 "C"
"288" 1987 2.77e-06 273413 0.951 0 "G" 0.444 -7.866 0 114.231 "C"
"289" 1971 0.895 217507 0.272 0 "E" 0.23 -14.535 0 110.341 "C"
"290" 1956 0.991 402440 0.0203 0 "E" 0.0858 -24.1 0 101.747 "C"
"291" 1935 0.123 471368 0.202 0 "F" 0.595 -19.382 0 65.515 "D"
"292" 1962 0.783 120520 0.209 0 "Eb" 0.0486 -12.41 0 124.304 "D"
"293" 2011 0.000679 256800 0.883 0 "E" 0.145 -5.554 0 135.937 "B"
"294" 1942 0.993 179908 0.139 1 "B" 0.87 -17.831 1 204.595 "D"
"295" 2016 0.269 145560 0.748 1 "Ab" 0.117 -5.222 1 82.397 "B"
"296" 1961 0.736 329427 0.087 0 "Db" 0.092 -20.949 0 61.796 "D"
"297" 1963 0.689 141893 0.245 1 "B" 0.117 -20.956 1 151.246 "C"
"298" 1991 0.199 458933 0.656 0 "Gb" 0.793 -9.854 0 97.943 "C"
"299" 1968 0.519 338013 0.704 0 "F" 0.104 -6.817 0 101.823 "C"
"300" 1993 0.00187 299733 0.645 0 "G" 0.0424 -6.595 0 89.518 "A"
"301" 1957 0.854 177467 0.144 0 "C" 0.0876 -12.496 0 120.221 "C"
"302" 2018 0.118 192229 0.561 1 "D" 0.0737 -7.418 1 90.021 "A"
"303" 1960 0.945 172907 0.196 0 "Gb" 0.101 -11.913 0 104.151 "D"
"304" 1961 0.934 259773 0.112 0 "D" 0.0735 -17.747 0 142.126 "D"
"305" 2002 0.0472 270867 0.964 0 "D" 0.323 -3.779 0 142.75 "B"
"306" 1973 0.405 267133 0.413 0 "Bb" 0.125 -13.067 0 128.871 "C"
"307" 1945 0.995 186985 0.0816 0 "Gb" 0.11 -16.629 0 129.355 "D"
"308" 1928 0.99 230920 0.0253 0 "F" 0.0753 -20.313 0 81.955 "D"
"309" 1970 0.579 310293 0.41 1 "Gb" 0.447 -10.045 1 111.353 "C"
"310" 2014 0.115 208500 0.808 1 "Gb" 0.596 -4.52 1 169.203 "B"
"311" 1985 0.755 256240 0.249 1 "A" 0.0927 -13.619 1 110.636 "B"
